N,error_dx,error_combined
15,0.00831247660568308,0.00831247660568308
20,0.0084533450928748,0.0084533450928748
25,0.00848181635905187,0.00848181635905187
35,0.00849370300289899,0.00849370300289899
45,0.00855771242179525,0.00855771242179525
50,0.00858910645884415,0.00858910645884415
63,0.00862049887131461,0.00862049887131461
70,0.0086195191692197,0.0086195191692197
85,0.00858039201939613,0.00858039201939613
93,0.00851252571604578,0.00851252571604578
100,0.00856479573619217,0.00856479573619217
120,0.00858931020859324,0.00858931020859324
140,0.00857780052105606,0.00857780052105606
175,0.00857716550805143,0.00857716550805143
200,0.00857807380680825,0.00857807380680825
250,0.00857862694115482,0.00857862694115482
300,0.00857944363794089,0.00857944363794089
