,N,Fast Error,Fast Time,Slow Error,Slow Time
fast,200,1.57254863,3.6134722,1.557999647,7.5141825
fast,215,1.568755294,4.4257457,1.553122482,8.969276
fast,250,1.558122341,6.6678051,1.544273461,13.429227
fast,285,1.549952939,10.0457084,1.537812205,19.3699746
fast,310,5.64E+47,12.521,1.53350806,23.9118
fast,360,1.542134009,20.6428987,1.528428138,51.3725021
fast,415,1.537509391,35.9511645,1.52365723,120.5381034
fast,500,1.532852142,63.3560695,1.518009706,200.1430996
fast,575,5.18E+37,114.679437,1.514013837,290.0205493
fast,650,1.523920389,137.288524,1.510311054,379.2876579
fast,750,1.514053003,172.5108426,1.500382141,487.8249691
